title,authors,subject,publish_year,description,rating
A Little Cook-Book for a Little Girl,Caroline French Benton,cooking,1905,,
Sweets and supper dishes à la mode,Harriet Anne de Salis,cooking,1888,,
Alice of old Vincennes,Maurice Thompson,cooking,1900,"A historical novel dealing with the life of the old Northwest in Revolutionary times.

James Maurice Thompson (1844-1901), son of a Baptist minister, was born in Fairfield, Indiana. The family moved to north Georgia in the 1850s and he was educated by tutors in the classical languages, literature, French and mathematics, which provided the basis for his later work as a civil engineer. During the Civil War Thompson served in the Confederate Army. After the war he lived in Calhoun, Georgia, studied surveying and engineering, and took up the study of law. He lived in Calhoun two years and began his career as a writer there.

In 1868 Thompson and his brother moved to Crawfordsville, Indiana. Maurice found work as an engineer on a new railroad under construction and the Thompson brothers married sisters. In 1871 Thompson moved from engineering work to law and opened an office with his brother. Now engaged in the practice of law, Thompson again took up writing, and in 1873 the Atlantic Monthly published one of his articles, after which he undertook a series of articles on archery which is acclaimed today in archery circles as the first effort to popularize the sport. Thompson’s first book appeared in 1875 and over the ensuing years he wrote in different genres, including historical fiction and nature poetry. He was elected to the Indiana State Legislature in 1879.
– Info from the website “Strangers to Us All – Lawyers and Poetry”",
How to Cook and Eat in Chinese,Buwei Yang Chao,cooking,1945,,
Betty Crocker's Picture Cook Book,Betty Crocker,cooking,1950,,4.67
Food Process Engineering,F. Xavier Malcata,cooking,2020,,
Step-By-Step Practical Recipes,"Gina Steer, Ann Nicol",cooking,2015,,
How to Eat,Nigella Lawson,cooking,1998,,
"Modern cookery, in all its branches",Eliza Acton,cooking,1845,,
The Professional Chef's Techniques of Healthy Cooking,Culinary Institute of America.,cooking,1993,"""Eat healthfully and live longer. Its good advice. Americans have taken this information to heart, changing their lifestyles to include more exercise and a better diet as part of the new interest in wellness. But as lifestyles change and people eat more healthfully the professional chef and home cook are faced with an even greater challenge: how to create dramatic, flavorful dishes while limiting the ingredients that taste so good, but that aren't good for us."" ""The Professional Chef's Techniques of Healthy Cooking is an exciting compendium of nearly 300 easy-to-follow recipes that demonstrate that good nutrition is the product of good food, carefully selected and properly prepared. Using techniques perfected by the chefs of The Culinary Institute of America, which Time Magazine called ""the nations most influential training school for cooks,"" The Professional Chef's Techniques of Healthy Cooking shows you how you can make nutrition a natural part of your cooking each and every day."" ""Beautifully illustrated with 200 full-color photographs, The Professional Chef's Techniques of Healthy Cooking features recipes with nutrient analyses for such classic and contemporary dishes as Pan-Roasted Tomato Bisque, Grilled Salmon with Southwestern Bean Stew and Jicama Salad, Paella, Tenderloin of Beef with a Blue Cheese and Herb Crust, Honey Vanilla Cheesecake, and many more. From sauces to soups to pastas entrees, and desserts, The Professional Chef's Techniques of Healthy Cooking shows you step-by-step how to make delicious dishes an important part of better eating.""

""The Professional Chef's Techniques of Healthy Cooking introduces the seven basic guidelines for improving the nutritional content of meals, with information on how to boost foods' vitamin, mineral, and fiber content while limiting calories, fat, salt, and sodium. Cooking techniques are thoroughly explained, and emphasize how best to enhance and retain the nutritional content of ingredients without adding calories. The easy-to-read recipes demonstrate proper cooking techniques that bring out foods' better side, such as how to substitute vegetable juices and herbs for heavy creams, how to select and prepare leaner cuts of beef poultry and fish, along with recipes for ""good start"" breakfasts and non-alcoholic beverages. More than just a cookbook, The Professional Chef's Techniques of Healthy Cooking develops skills from market to menu that will help create wholesome, healthwise cuisine."" ""Like The Culinary Institute of America's best-selling book, The New Professional Chef, The Professional Chef's Techniques of Healthy Cooking is destined to become a classic reference chronicling todays modern cuisine."" ""Founded in 1946, The Culinary Institute of America is dedicated to providing the finest culinary arts education to those individuals pursing career's in the culinary field. Aspiring chefs are taught to master the fundamentals of cooking and learn the importance of creative teamwork as they progress through an education program that challenges their creative skills within a practical, comprehensive learning experience.""--Jacket.",
Feast for 10,Cathryn Falwell,cooking,1993,Numbers from one to ten are used to tell how members of a family shop and work together to prepare a meal.,
De honesta voluptate,Platina,cooking,1475,,
On food and cooking,Harold McGee,cooking,1984,"Harold McGee's On Food and Cooking is a kitchen classic. Hailed by Time magazine as ""a minor masterpiece"" when it first appeared in 1984, On Food and Cooking is the bible to which food lovers and professional chefs worldwide turn for an understanding of where our foods come from, what exactly they're made of, and how cooking transforms them into something new and delicious. Now, for its twentieth anniversary, Harold McGee has prepared a new, fully revised and updated edition of On Food and Cooking. He has rewritten the text almost completely, expanded it by two-thirds, and commissioned more than 100 new illustrations. As compulsively readable and engaging as ever, the new On Food and Cooking provides countless eye-opening insights into food, its preparation, and its enjoyment. On Food and Cooking pioneered the translation of technical food science into cook-friendly kitchen science and helped give birth to the inventive culinary movement known as ""molecular gastronomy."" Though other books have now been written about kitchen science, On Food and Cooking remains unmatched in the accuracy, clarity, and thoroughness of its explanations, and the intriguing way in which it blends science with the historical evolution of foods and cooking techniques. Among the major themes addressed throughout this new edition are: Traditional and modern methods of food production and their influences on food quality, the great diversity of methods by which people in different places and times have prepared the same ingredients, tips for selecting the best ingredients and preparing them successfully, the particular substances that give foods their flavors and that give us pleasure, and our evolving knowledge of the health benefits and risks of foods. On Food and Cooking is an invaluable and monumental compendium of basic information about ingredients, cooking methods, and the pleasures of eating. It will delight and fascinate anyone who has ever cooked, savored, or wondered about food.",4.5
The good housekeeper,Sarah Josepha Hale,cooking,1839,,
Mrs. Putnam's receipt book and young housekeeper's assistant,"Putnam, E. Mrs",cooking,1852,,
Delights and Prejudices (On Food),"James Beard, Julia Child",cooking,1964,"viii, 337 p. : 24 cm",
Family cookbook,"Isabella Beeton, Ward, Lock and Company, ltd.",cooking,1907,,
The cook's oracle,William Kitchiner,cooking,1821,,
Foods,Margaret McWilliams,cooking,1989,,
The Apprentice,"Jacques Pépin, Michel Chevalier",cooking,2003,,5.0
Icarus,Russell Andrews,cooking,2001,,5.0
Directions for cookery in its various branches,Eliza Leslie,cooking,1838,,5.0
Tasting the past,Jacqui Wood,cooking,2009,,
The Supernatural Kids Cookbook,Nancy Mehagian,cooking,2011,,
Trailer Food Diaries Cookbook : ,Tiffany Harelik,cooking,2012,"""A cookbook featuring recipes from Houston, Texas, food trucks""--

""In Houston, everyone from enterprising chefs at established restaurants to home cooks who love to eat has taken their recipes to the streets. From the Heights to Montrose and bars in between, food truck concepts are peppered around the Bayou City, feeding hungry Houstonians everything from bacon jam to cookie-flavored cashew butter, beer-braised lengua tacos to fried escargot. These creative mini-restaurants on wheels have shared the best of the best, including flavors from Southern, Asian, and Bayou cuisine. Join Tiffany Harelik as she brings the Trailer Food Diaries to Houston and explores the recipes and personal stories behind Houston's tastiest trend""--",
Tempting dishes for small incomes,Harriet Anne de Salis,cooking,1891,,
The art of living in Australia,Philip E. Muskett,cooking,1893,,
Menus for Entertaining,James Beard,cooking,1965,Recipes for every occasion from barbecues to formal dinner parties.,
